time,lat,lon,altitude_ft,heading_deg,icao24,callsign
1774216169,32.8347,-96.8299,997.4,135.0,a1f503,EJA225
1774216186,32.8223,-96.8167,1998.0,137.0,a1f503,EJA225
1774216202,32.8097,-96.8036,1998.0,138.0,a1f503,EJA225
1774216242,32.7744,-96.7665,2998.7,138.0,a1f503,EJA225
1774216259,32.7592,-96.7504,3999.3,137.0,a1f503,EJA225
1774216277,32.744,-96.7329,3999.3,135.0,a1f503,EJA225
1774216285,32.7362,-96.7239,5000.0,135.0,a1f503,EJA225
1774216291,32.7305,-96.7175,5000.0,138.0,a1f503,EJA225
1774216300,32.721,-96.7098,5000.0,153.0,a1f503,EJA225
1774216310,32.7102,-96.7059,5997.4,171.0,a1f503,EJA225
1774216318,32.6993,-96.7058,5997.4,187.0,a1f503,EJA225
1774216327,32.6885,-96.7098,6998.0,203.0,a1f503,EJA225
1774216337,32.678,-96.7155,6998.0,204.0,a1f503,EJA225
1774216354,32.6582,-96.7261,7998.7,204.0,a1f503,EJA225
1774216361,32.6493,-96.731,8999.3,204.0,a1f503,EJA225
1774216370,32.6384,-96.7374,8999.3,210.0,a1f503,EJA225
1774216381,32.6279,-96.7474,10000.0,226.0,a1f503,EJA225
1774216388,32.6217,-96.7572,10000.0,239.0,a1f503,EJA225
1774216397,32.6174,-96.7692,10997.4,253.0,a1f503,EJA225
1774216404,32.6158,-96.7821,10997.4,269.0,a1f503,EJA225
1774216413,32.6164,-96.7965,10997.4,274.0,a1f503,EJA225
1774216430,32.6184,-96.8267,10997.4,274.0,a1f503,EJA225
1774216455,32.6216,-96.874,11998.0,274.0,a1f503,EJA225
1774216473,32.624,-96.9091,12998.7,274.0,a1f503,EJA225
1774216496,32.6271,-96.9539,13999.3,274.0,a1f503,EJA225
1774216521,32.6305,-97.0037,15000.0,274.0,a1f503,EJA225
1774216545,32.6339,-97.0532,15997.4,274.0,a1f503,EJA225
1774216578,32.6386,-97.1232,16998.0,274.0,a1f503,EJA225
1774216603,32.6422,-97.1766,17998.7,274.0,a1f503,EJA225
1774216627,32.6456,-97.2283,18999.3,274.0,a1f503,EJA225
1774216662,32.6508,-97.3066,20000.0,274.0,a1f503,EJA225
1774216680,32.6533,-97.3455,20997.4,274.0,a1f503,EJA225
1774216715,32.6586,-97.4255,21998.0,274.0,a1f503,EJA225
1774216751,32.6638,-97.5063,22998.7,274.0,a1f503,EJA225
1774216787,32.6691,-97.5903,23999.3,274.0,a1f503,EJA225
1774216823,32.6745,-97.6769,25000.0,274.0,a1f503,EJA225
